GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AGS001,AGS002,AGS003,AGS004,AGS005,AGS006,AGS007,AGS008,AGS009,AGS010,AGS011,AGS012,AGS013,AGS014,AGS015,AGS016,AGS017,AGS018,AGS019,AGS020,AGS021,AGT001,AGU001
"G1200250","1860","Florida","120","Dade","0250","Dade",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"G1200310","1860","Florida","120","Duval","0310","Duval",44,30,19,16,17,16,15,6,4,31,18,16,4,2,2,0,0,0,0,0,0,240,1987
"G1200330","1860","Florida","120","Escambia","0330","Escambia",52,28,22,25,17,11,8,11,2,33,8,12,1,2,3,1,0,1,0,0,0,237,1961
"G1200370","1860","Florida","120","Franklin","0370","Franklin",7,10,3,6,6,0,7,4,1,6,2,5,3,0,0,0,0,0,0,0,0,60,520
"G1200390","1860","Florida","120","Gadsden","0390","Gadsden",42,25,35,22,18,16,17,9,15,40,31,43,15,7,9,4,7,0,0,0,0,355,5409
"G1200470","1860","Florida","120","Hamilton","0470","Hamilton",24,13,19,16,9,8,7,9,5,21,12,5,1,4,3,0,0,0,0,0,0,156,1397
"G1200530","1860","Florida","120","Hernando","0530","Hernando",,,,,,,,,,,,,,,,,,,,,,,200
"G1200570","1860","Florida","120","Hillsborough","0570","Hillsborough",38,15,11,7,9,6,7,5,6,12,3,1,0,0,0,0,0,0,0,0,0,120,564
"G1200590","1860","Florida","120","Holmes","0590","Holmes",6,9,3,5,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,29,112
"G1200630","1860","Florida","120","Jackson","0630","Jackson",50,21,33,22,16,27,11,18,13,56,38,29,13,7,3,0,0,0,0,0,0,357,4903
"G1200650","1860","Florida","120","Jefferson","0650","Jefferson",64,37,23,24,23,21,19,12,16,40,34,26,18,11,12,8,9,0,0,0,0,397,6374
"G1200670","1860","Florida","120","Lafayette","0670","Lafayette",12,6,3,1,3,0,3,0,1,7,1,2,0,0,0,1,2,0,0,0,0,42,577
"G1200730","1860","Florida","120","Leon","0730","Leon",52,47,39,27,24,28,24,23,14,76,36,26,31,17,30,10,10,1,0,0,0,515,9089
"G1200750","1860","Florida","120","Levy","0750","Levy",12,4,4,4,2,3,2,0,2,7,1,2,1,0,1,1,0,0,0,0,0,46,450
"G1200770","1860","Florida","120","Liberty","0770","Liberty",4,6,2,4,3,1,2,1,2,8,7,3,2,0,1,0,0,0,0,0,0,46,521
"G1200790","1860","Florida","120","Madison","0790","Madison",25,24,18,15,12,13,11,8,7,37,20,30,18,8,10,5,3,0,0,0,0,264,4249
"G1200810","1860","Florida","120","Manatee","0810","Manatee",5,5,2,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,19,253
"G1200830","1860","Florida","120","Marion","0830","Marion",36,39,21,18,15,18,13,10,16,35,38,36,17,15,11,4,3,0,0,0,0,345,5314
"G1200870","1860","Florida","120","Monroe","0870","Monroe",23,16,12,10,6,4,4,1,1,7,4,3,0,0,0,0,0,0,0,0,0,91,451
"G1200890","1860","Florida","120","Nassau","0890","Nassau",41,22,16,14,16,11,9,5,7,21,11,9,2,2,1,1,1,0,0,0,0,189,1612
"G1200895","1860","Florida","120","New River","0895","New River",28,21,14,13,3,6,2,5,4,12,8,3,1,0,1,0,0,0,0,0,0,121,744
"G1200950","1860","Florida","120","Orange","0950","Orange",9,4,2,2,4,3,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,31,163
"G1201070","1860","Florida","120","Putnam","1070","Putnam",23,9,14,6,2,5,4,4,6,13,5,5,2,2,1,1,1,0,0,0,0,103,1047
"G1201090","1860","Florida","120","St Johns","1090","St Johns",34,33,13,20,6,8,9,5,2,12,6,3,4,0,1,1,0,0,0,0,0,157,1003
"G1201130","1860","Florida","120","Santa Rosa","1130","Santa Rosa",34,25,20,14,11,8,7,4,6,19,5,7,1,2,1,0,2,0,0,0,0,166,1371
"G1201190","1860","Florida","120","Sumter","1190","Sumter",14,5,6,7,3,5,4,4,1,10,1,4,2,0,0,1,0,0,0,0,0,67,549
"G1201210","1860","Florida","120","Suwannee","1210","Suwannee",9,8,3,2,6,4,3,4,2,7,8,6,9,0,1,0,0,0,0,0,0,72,835
"G1201230","1860","Florida","120","Taylor","1230","Taylor",5,6,1,3,3,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,23,125
"G1201270","1860","Florida","120","Volusia","1270","Volusia",13,3,1,6,2,5,2,0,3,1,0,0,1,0,0,0,1,0,0,0,0,38,297
"G1201290","1860","Florida","120","Wakulla","1290","Wakulla",17,10,13,6,11,5,4,6,5,13,8,9,7,1,1,0,0,0,0,0,0,116,1167
"G1201310","1860","Florida","120","Walton","1310","Walton",37,20,14,10,1,5,1,7,3,5,2,1,0,1,0,0,0,0,0,0,0,107,441
"G1201330","1860","Florida","120","Washington","1330","Washington",5,11,7,4,2,4,3,1,2,10,3,1,1,0,2,0,0,0,0,0,0,56,474
"G1300010","1860","Georgia","130","Appling","0010","Appling",28,15,12,9,7,9,3,6,4,18,7,3,1,0,0,0,0,0,0,0,0,122,745
"G1300070","1860","Georgia","130","Baker","0070","Baker",14,14,8,11,11,8,7,9,7,20,10,17,18,14,10,4,1,0,0,0,0,183,3492
"G1300090","1860","Georgia","130","Baldwin","0090","Baldwin",145,65,31,24,21,27,16,17,13,43,27,25,14,3,9,2,4,0,0,0,0,486,4929
"G1300110","1860","Georgia","130","Banks","0110","Banks",28,22,19,14,7,11,10,8,7,24,2,8,1,0,1,0,0,0,0,0,0,162,1086
"G1300190","1860","Georgia","130","Berrien","0190","Berrien",37,25,10,8,3,2,5,6,1,10,1,1,0,0,0,0,0,0,0,0,0,109,432
"G1300210","1860","Georgia","130","Bibb","0210","Bibb",141,105,80,65,53,42,29,23,32,90,52,36,23,11,7,3,1,0,0,0,0,793,6790
"G1300270","1860","Georgia","130","Brooks","0270","Brooks",35,23,22,15,10,15,8,8,16,32,23,29,10,7,7,1,1,0,0,0,0,262,3282
"G1300290","1860","Georgia","130","Bryan","0290","Bryan",19,8,5,5,9,11,6,5,3,12,4,6,5,4,3,0,4,2,0,0,0,111,2379
"G1300310","1860","Georgia","130","Bulloch","0310","Bulloch",44,26,20,21,21,18,15,5,14,31,13,17,8,1,0,1,0,0,0,0,0,255,2162
"G1300330","1860","Georgia","130","Burke","0330","Burke",75,74,53,43,34,33,27,24,16,89,61,65,40,29,32,19,5,1,0,0,0,720,12052
"G1300350","1860","Georgia","130","Butts","0350","Butts",63,29,22,19,21,13,12,9,16,38,31,30,9,1,3,1,0,0,0,0,0,317,3067
"G1300370","1860","Georgia","130","Calhoun","0370","Calhoun",38,25,19,17,11,5,6,6,5,20,10,19,8,9,9,2,1,0,0,0,0,210,2731
"G1300390","1860","Georgia","130","Camden","0390","Camden",26,9,13,11,8,7,3,3,3,19,12,15,10,6,15,2,6,1,1,0,0,170,4143
"G1300395","1860","Georgia","130","Campbell","0395","Campbell",49,32,21,29,15,18,17,14,15,33,15,15,3,2,0,0,0,0,0,0,0,278,2004
"G1300450","1860","Georgia","130","Carroll","0450","Carroll",95,55,47,27,24,18,18,12,9,34,12,5,2,2,0,0,0,0,0,0,0,360,1862
"G1300455","1860","Georgia","130","Cass","0455","Cass",70,63,29,30,26,20,18,13,15,50,29,35,13,4,6,3,1,0,0,0,0,425,4282
"G1300470","1860","Georgia","130","Catoosa","0470","Catoosa",23,12,18,9,12,11,5,6,5,9,2,6,1,0,0,0,0,0,0,0,0,119,710
"G1300490","1860","Georgia","130","Charlton","0490","Charlton",8,5,3,10,3,2,3,3,2,7,3,2,2,0,1,0,1,0,0,0,0,55,557
"G1300510","1860","Georgia","130","Chatham","0510","Chatham",201,126,126,105,109,72,55,43,38,129,67,60,20,5,12,14,14,7,2,0,0,1205,14807
"G1300530","1860","Georgia","130","Chattahoochee","0530","Chattahoochee",38,24,19,9,13,15,14,7,6,23,21,25,7,7,3,2,1,0,0,0,0,234,2758
"G1300550","1860","Georgia","130","Chattooga","0550","Chattooga",46,35,27,32,17,15,19,10,6,35,21,7,2,1,2,0,1,0,0,0,0,276,2054
"G1300570","1860","Georgia","130","Cherokee","0570","Cherokee",45,30,20,24,12,8,12,13,8,19,10,4,1,0,0,1,0,0,0,0,0,207,1199
"G1300590","1860","Georgia","130","Clarke","0590","Clarke",93,47,36,34,28,29,31,22,21,81,49,46,13,3,7,3,1,0,0,0,0,544,5660
