GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABX001,ABX002,ABX003,ABX004,ABX005,ABX006,ABX007,ABX008,ABX009,ABX010,ABX011,ABX012,ABX013,ABX014,ABX015,ABX016,ABX017,ABX018,ABX019,ABX020,ABX021,ABX022,ABX023,ABX024,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006,ABQ001,ABQ002
"G1300590","1830","Georgia","130","Clarke","0590","Clarke",886,738,370,233,70,1,846,768,423,297,75,2,4,2,1,3,6,0,3,4,0,2,3,1,2737,2701,2298,2411,16,13,4709,29
"G1300730","1830","Georgia","130","Columbia","0730","Columbia",1420,1192,720,560,185,14,1423,1185,706,449,177,1,21,11,5,7,8,1,15,13,8,13,5,0,2264,2203,4091,3941,53,54,8032,107
"G1300770","1830","Georgia","130","Coweta","0770","Coweta",241,256,100,47,21,0,250,263,110,65,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1939,1692,665,707,0,0,1372,0
"G1300790","1830","Georgia","130","Crawford","0790","Crawford",325,299,141,83,16,0,335,289,151,54,25,0,0,2,1,0,1,0,0,0,0,0,0,0,1919,1672,864,854,4,0,1718,4
"G1300870","1830","Georgia","130","Decatur","0870","Decatur",260,216,99,70,8,1,244,208,114,77,11,0,1,0,0,1,0,0,1,0,1,1,0,0,1363,1178,654,654,2,3,1308,5
"G1300890","1830","Georgia","130","DeKalb","0890","De Kalb",315,289,109,54,11,0,313,330,132,78,17,0,3,5,1,0,0,0,2,1,2,1,3,0,4293,4083,778,870,9,9,1648,18
"G1300930","1830","Georgia","130","Dooly","0930","Dooly",69,54,21,17,5,0,60,54,40,9,7,0,2,1,2,0,0,0,2,1,2,1,1,0,914,873,166,170,5,7,336,12
"G1300990","1830","Georgia","130","Early","0990","Early",87,86,46,21,6,0,104,91,58,30,9,2,1,0,0,1,1,0,1,0,1,1,0,0,776,729,246,294,3,3,540,6
"G1301030","1830","Georgia","130","Effingham","1030","Effingham",172,173,107,137,56,0,186,182,87,86,26,0,0,0,0,0,1,0,0,2,0,0,2,0,889,818,645,567,1,4,1212,5
"G1301050","1830","Georgia","130","Elbert","1050","Elbert",1117,881,446,304,89,0,1109,884,556,286,93,0,13,10,13,5,4,0,15,12,9,2,5,0,3336,3165,2837,2928,45,43,5765,88
"G1301070","1830","Georgia","130","Emanuel","1070","Emanuel",97,73,30,26,7,0,82,69,46,27,7,1,3,7,0,1,1,0,6,5,1,3,2,0,1081,1098,233,232,12,17,465,29
"G1301130","1830","Georgia","130","Fayette","1130","Fayette",230,185,83,50,17,0,236,223,97,55,11,0,5,12,2,4,1,0,8,10,4,2,3,0,2200,2066,565,622,24,27,1187,51
"G1301190","1830","Georgia","130","Franklin","1190","Franklin",458,357,182,97,33,1,462,418,204,120,38,0,10,10,3,3,3,0,5,2,2,4,1,0,3906,3788,1128,1242,29,14,2370,43
"G1301270","1830","Georgia","130","Glynn","1270","Glynn",530,577,337,444,104,0,512,568,341,431,122,2,0,1,0,1,0,0,0,0,0,0,0,0,338,259,1992,1976,2,0,3968,2
"G1301330","1830","Georgia","130","Greene","1330","Greene",1453,1152,686,431,100,0,1399,1050,736,358,103,2,6,5,4,4,4,0,7,9,7,4,3,0,2605,2421,3822,3648,23,30,7470,53
"G1301350","1830","Georgia","130","Gwinnett","1350","Gwinnett",481,365,191,72,24,2,465,406,209,100,17,0,2,3,1,0,0,0,0,1,0,0,1,0,5655,5294,1135,1197,6,2,2332,8
